Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 49605.634 | Evanescia: 35114.953 | YaoGuang: 10201.597 | MortenaxBlade: 3094.296 | HuoHuo: 0.000
Run   51: Team DPAV: 48667.558 | Evanescia: 33982.606 | YaoGuang: 9760.689 | MortenaxBlade: 3791.498 | HuoHuo: 0.000
Run   52: Team DPAV: 51334.436 | Evanescia: 35847.807 | YaoGuang: 10379.549 | MortenaxBlade: 3847.261 | HuoHuo: 0.000
Run   53: Team DPAV: 50023.038 | Evanescia: 35043.216 | YaoGuang: 9981.707 | MortenaxBlade: 3797.311 | HuoHuo: 0.000
Run   54: Team DPAV: 49053.844 | Evanescia: 34305.465 | YaoGuang: 9781.217 | MortenaxBlade: 3781.397 | HuoHuo: 0.000
Run   55: Team DPAV: 49156.005 | Evanescia: 34468.915 | YaoGuang: 9676.232 | MortenaxBlade: 3766.079 | HuoHuo: 0.000
Run   56: Team DPAV: 51216.692 | Evanescia: 36081.859 | YaoGuang: 10302.039 | MortenaxBlade: 3572.976 | HuoHuo: 0.000
Run   57: Team DPAV: 50776.646 | Evanescia: 35564.768 | YaoGuang: 10271.114 | MortenaxBlade: 3739.960 | HuoHuo: 0.000
Run   58: Team DPAV: 48916.058 | Evanescia: 34163.541 | YaoGuang: 9815.700 | MortenaxBlade: 3742.030 | HuoHuo: 0.000
Run   59: Team DPAV: 49345.691 | Evanescia: 34366.001 | YaoGuang: 10175.047 | MortenaxBlade: 3553.849 | HuoHuo: 0.000
Run   60: Team DPAV: 50093.460 | Evanescia: 35213.113 | YaoGuang: 10090.228 | MortenaxBlade: 3657.354 | HuoHuo: 0.000
Run   61: Team DPAV: 51586.042 | Evanescia: 36546.782 | YaoGuang: 10015.561 | MortenaxBlade: 3763.879 | HuoHuo: 0.000
Run   62: Team DPAV: 47669.305 | Evanescia: 33828.108 | YaoGuang: 9622.757 | MortenaxBlade: 2979.677 | HuoHuo: 0.000
Run   63: Team DPAV: 50952.547 | Evanescia: 35610.118 | YaoGuang: 10264.787 | MortenaxBlade: 3817.823 | HuoHuo: 0.000
Run   64: Team DPAV: 50019.320 | Evanescia: 35134.915 | YaoGuang: 9902.725 | MortenaxBlade: 3742.918 | HuoHuo: 0.000
Run   65: Team DPAV: 50107.734 | Evanescia: 35257.847 | YaoGuang: 9862.801 | MortenaxBlade: 3736.292 | HuoHuo: 0.000
Run   66: Team DPAV: 49954.847 | Evanescia: 34540.851 | YaoGuang: 9604.584 | MortenaxBlade: 4558.618 | HuoHuo: 0.000
Run   67: Team DPAV: 48530.865 | Evanescia: 33774.041 | YaoGuang: 9775.537 | MortenaxBlade: 3742.525 | HuoHuo: 0.000
Run   68: Team DPAV: 49503.717 | Evanescia: 34601.019 | YaoGuang: 9887.855 | MortenaxBlade: 3776.080 | HuoHuo: 0.000
Run   69: Team DPAV: 49726.075 | Evanescia: 34751.352 | YaoGuang: 9934.429 | MortenaxBlade: 3789.499 | HuoHuo: 0.000
Run   70: Team DPAV: 51266.896 | Evanescia: 36459.781 | YaoGuang: 9867.018 | MortenaxBlade: 3748.317 | HuoHuo: 0.000
Run   71: Team DPAV: 48162.395 | Evanescia: 34213.574 | YaoGuang: 9768.380 | MortenaxBlade: 2941.677 | HuoHuo: 0.000
Run   72: Team DPAV: 51383.486 | Evanescia: 35596.196 | YaoGuang: 9879.223 | MortenaxBlade: 4657.272 | HuoHuo: 0.000
Run   73: Team DPAV: 50684.004 | Evanescia: 35081.616 | YaoGuang: 10672.485 | MortenaxBlade: 3735.114 | HuoHuo: 0.000
Run   74: Team DPAV: 50928.578 | Evanescia: 35506.167 | YaoGuang: 10205.245 | MortenaxBlade: 3957.347 | HuoHuo: 0.000
Run   75: Team DPAV: 50431.589 | Evanescia: 35700.678 | YaoGuang: 9861.042 | MortenaxBlade: 3678.088 | HuoHuo: 0.000
Run   76: Team DPAV: 50012.786 | Evanescia: 34612.131 | YaoGuang: 10305.439 | MortenaxBlade: 3835.397 | HuoHuo: 0.000
Run   77: Team DPAV: 48013.549 | Evanescia: 34269.760 | YaoGuang: 9548.799 | MortenaxBlade: 2956.227 | HuoHuo: 0.000
Run   78: Team DPAV: 50381.906 | Evanescia: 35313.346 | YaoGuang: 10072.349 | MortenaxBlade: 3736.393 | HuoHuo: 0.000
Run   79: Team DPAV: 49201.925 | Evanescia: 34352.482 | YaoGuang: 9987.683 | MortenaxBlade: 3719.971 | HuoHuo: 0.000
Run   80: Team DPAV: 50016.304 | Evanescia: 35023.819 | YaoGuang: 10085.412 | MortenaxBlade: 3715.293 | HuoHuo: 0.000
Run   81: Team DPAV: 49578.660 | Evanescia: 34757.957 | YaoGuang: 9867.654 | MortenaxBlade: 3714.286 | HuoHuo: 0.000
Run   82: Team DPAV: 49719.023 | Evanescia: 34408.176 | YaoGuang: 10324.243 | MortenaxBlade: 3747.842 | HuoHuo: 0.000
Run   83: Team DPAV: 50662.751 | Evanescia: 35498.620 | YaoGuang: 10241.754 | MortenaxBlade: 3671.582 | HuoHuo: 0.000
Run   84: Team DPAV: 49569.928 | Evanescia: 34576.487 | YaoGuang: 10084.595 | MortenaxBlade: 3776.080 | HuoHuo: 0.000
Run   85: Team DPAV: 51142.287 | Evanescia: 35386.595 | YaoGuang: 10056.256 | MortenaxBlade: 4448.642 | HuoHuo: 0.000
Run   86: Team DPAV: 51477.632 | Evanescia: 35830.022 | YaoGuang: 10344.477 | MortenaxBlade: 4043.314 | HuoHuo: 0.000
Run   87: Team DPAV: 49824.706 | Evanescia: 34673.799 | YaoGuang: 10256.625 | MortenaxBlade: 3634.464 | HuoHuo: 0.000
Run   88: Team DPAV: 49602.546 | Evanescia: 34789.085 | YaoGuang: 9886.005 | MortenaxBlade: 3785.665 | HuoHuo: 0.000
Run   89: Team DPAV: 50813.052 | Evanescia: 35639.135 | YaoGuang: 10177.808 | MortenaxBlade: 3736.292 | HuoHuo: 0.000
Run   90: Team DPAV: 51474.147 | Evanescia: 36508.010 | YaoGuang: 10102.243 | MortenaxBlade: 3672.114 | HuoHuo: 0.000
Run   91: Team DPAV: 50146.538 | Evanescia: 35210.800 | YaoGuang: 10217.498 | MortenaxBlade: 3546.943 | HuoHuo: 0.000
Run   92: Team DPAV: 51540.364 | Evanescia: 36245.620 | YaoGuang: 10419.632 | MortenaxBlade: 3624.316 | HuoHuo: 0.000
Run   93: Team DPAV: 50508.973 | Evanescia: 35565.134 | YaoGuang: 9914.110 | MortenaxBlade: 3790.966 | HuoHuo: 0.000
Run   94: Team DPAV: 49503.627 | Evanescia: 34696.588 | YaoGuang: 9864.409 | MortenaxBlade: 3747.842 | HuoHuo: 0.000
Run   95: Team DPAV: 48427.977 | Evanescia: 34467.768 | YaoGuang: 9758.375 | MortenaxBlade: 2963.071 | HuoHuo: 0.000
Run   96: Team DPAV: 48201.940 | Evanescia: 34369.747 | YaoGuang: 9620.919 | MortenaxBlade: 2972.512 | HuoHuo: 0.000
Run   97: Team DPAV: 48922.671 | Evanescia: 33923.562 | YaoGuang: 10028.240 | MortenaxBlade: 3776.080 | HuoHuo: 0.000
Run   98: Team DPAV: 49645.486 | Evanescia: 35021.311 | YaoGuang: 9813.321 | MortenaxBlade: 3678.088 | HuoHuo: 0.000
Run   99: Team DPAV: 49222.120 | Evanescia: 34456.346 | YaoGuang: 9767.624 | MortenaxBlade: 3744.347 | HuoHuo: 0.000
Run  100: Team DPAV: 49603.390 | Evanescia: 34745.944 | YaoGuang: 9911.863 | MortenaxBlade: 3753.803 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 50033.712
Average Evanescia DPAV: 35035.070
Average YaoGuang DPAV: 10032.831
Average MortenaxBlade DPAV: 3740.533
Average HuoHuo DPAV: 0.000

Min Team DPAV: 47435.261
Max Team DPAV: 52345.729
