Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 43070.989 | Evanescia: 27524.312 | ElationMC: 5151.981 | YaoGuang: 9511.236 | Lingsha: 192.253
Run   38: Team DPAV: 41797.228 | Evanescia: 26811.626 | ElationMC: 4878.727 | YaoGuang: 9190.187 | Lingsha: 190.207
Run   39: Team DPAV: 41934.620 | Evanescia: 26974.551 | ElationMC: 4878.727 | YaoGuang: 9199.926 | Lingsha: 190.207
Run   40: Team DPAV: 44124.653 | Evanescia: 28475.148 | ElationMC: 5195.572 | YaoGuang: 9534.759 | Lingsha: 192.694
Run   41: Team DPAV: 41430.525 | Evanescia: 26648.238 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   42: Team DPAV: 40080.095 | Evanescia: 25768.429 | ElationMC: 4723.083 | YaoGuang: 8691.781 | Lingsha: 185.019
Run   43: Team DPAV: 43988.589 | Evanescia: 28367.985 | ElationMC: 5151.981 | YaoGuang: 9549.889 | Lingsha: 192.253
Run   44: Team DPAV: 41193.483 | Evanescia: 26472.171 | ElationMC: 4786.721 | YaoGuang: 9053.175 | Lingsha: 190.207
Run   45: Team DPAV: 44641.312 | Evanescia: 28885.516 | ElationMC: 5201.069 | YaoGuang: 9636.235 | Lingsha: 192.012
Run   46: Team DPAV: 41664.092 | Evanescia: 26831.760 | ElationMC: 4853.499 | YaoGuang: 9096.976 | Lingsha: 190.648
Run   47: Team DPAV: 41619.146 | Evanescia: 26861.133 | ElationMC: 4817.025 | YaoGuang: 8989.166 | Lingsha: 190.069
Run   48: Team DPAV: 42803.091 | Evanescia: 26751.600 | ElationMC: 5118.465 | YaoGuang: 10103.566 | Lingsha: 191.162
Run   49: Team DPAV: 41075.779 | Evanescia: 26440.009 | ElationMC: 4784.680 | YaoGuang: 8970.665 | Lingsha: 189.217
Run   50: Team DPAV: 40356.205 | Evanescia: 25578.917 | ElationMC: 4811.757 | YaoGuang: 9092.572 | Lingsha: 181.751
Run   51: Team DPAV: 44031.870 | Evanescia: 28608.260 | ElationMC: 5131.055 | YaoGuang: 9375.340 | Lingsha: 190.734
Run   52: Team DPAV: 43501.650 | Evanescia: 27817.780 | ElationMC: 5206.594 | YaoGuang: 9605.064 | Lingsha: 181.003
Run   53: Team DPAV: 41801.998 | Evanescia: 26890.687 | ElationMC: 4852.771 | YaoGuang: 9178.115 | Lingsha: 189.217
Run   54: Team DPAV: 43168.038 | Evanescia: 27623.993 | ElationMC: 5130.643 | YaoGuang: 9540.443 | Lingsha: 181.751
Run   55: Team DPAV: 40736.930 | Evanescia: 25916.239 | ElationMC: 4639.208 | YaoGuang: 9319.026 | Lingsha: 185.946
Run   56: Team DPAV: 40948.408 | Evanescia: 26323.642 | ElationMC: 4784.680 | YaoGuang: 8959.661 | Lingsha: 189.217
Run   57: Team DPAV: 43555.198 | Evanescia: 28025.651 | ElationMC: 5137.775 | YaoGuang: 9519.561 | Lingsha: 181.003
Run   58: Team DPAV: 43249.045 | Evanescia: 27707.811 | ElationMC: 5151.981 | YaoGuang: 9505.793 | Lingsha: 192.253
Run   59: Team DPAV: 43535.114 | Evanescia: 28124.990 | ElationMC: 5136.964 | YaoGuang: 9354.668 | Lingsha: 192.012
Run   60: Team DPAV: 41284.604 | Evanescia: 26511.754 | ElationMC: 4809.908 | YaoGuang: 9081.527 | Lingsha: 190.207
Run   61: Team DPAV: 43384.355 | Evanescia: 27957.341 | ElationMC: 5126.753 | YaoGuang: 9416.360 | Lingsha: 192.694
Run   62: Team DPAV: 40449.630 | Evanescia: 25544.310 | ElationMC: 4775.471 | YaoGuang: 9257.050 | Lingsha: 190.410
Run   63: Team DPAV: 43303.955 | Evanescia: 27934.271 | ElationMC: 5104.619 | YaoGuang: 9382.698 | Lingsha: 191.160
Run   64: Team DPAV: 44740.807 | Evanescia: 28439.670 | ElationMC: 5148.485 | YaoGuang: 10289.341 | Lingsha: 180.920
Run   65: Team DPAV: 43950.507 | Evanescia: 28365.176 | ElationMC: 5151.981 | YaoGuang: 9549.889 | Lingsha: 192.253
Run   66: Team DPAV: 41359.925 | Evanescia: 26725.518 | ElationMC: 4784.680 | YaoGuang: 8969.302 | Lingsha: 189.217
Run   67: Team DPAV: 40054.085 | Evanescia: 25314.231 | ElationMC: 4809.908 | YaoGuang: 9048.530 | Lingsha: 190.207
Run   68: Team DPAV: 40576.722 | Evanescia: 25932.349 | ElationMC: 4788.042 | YaoGuang: 8974.916 | Lingsha: 190.207
Run   69: Team DPAV: 41526.190 | Evanescia: 26882.346 | ElationMC: 4784.680 | YaoGuang: 8978.739 | Lingsha: 189.217
Run   70: Team DPAV: 43873.879 | Evanescia: 28085.686 | ElationMC: 5072.930 | YaoGuang: 9846.292 | Lingsha: 177.763
Run   71: Team DPAV: 43534.591 | Evanescia: 27734.228 | ElationMC: 4986.410 | YaoGuang: 9894.687 | Lingsha: 183.967
Run   72: Team DPAV: 41820.999 | Evanescia: 26937.635 | ElationMC: 4859.265 | YaoGuang: 9107.549 | Lingsha: 190.069
Run   73: Team DPAV: 41427.934 | Evanescia: 26645.646 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   74: Team DPAV: 41425.729 | Evanescia: 26643.442 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   75: Team DPAV: 40850.602 | Evanescia: 26085.825 | ElationMC: 4809.908 | YaoGuang: 9073.453 | Lingsha: 190.207
Run   76: Team DPAV: 44168.765 | Evanescia: 28555.477 | ElationMC: 5132.250 | YaoGuang: 9527.273 | Lingsha: 192.012
Run   77: Team DPAV: 44297.308 | Evanescia: 28841.719 | ElationMC: 5118.979 | YaoGuang: 9455.521 | Lingsha: 189.882
Run   78: Team DPAV: 40973.657 | Evanescia: 26135.335 | ElationMC: 4744.801 | YaoGuang: 9221.503 | Lingsha: 189.628
Run   79: Team DPAV: 41543.300 | Evanescia: 26531.480 | ElationMC: 4813.620 | YaoGuang: 9326.183 | Lingsha: 189.628
Run   80: Team DPAV: 43313.621 | Evanescia: 27359.104 | ElationMC: 5092.259 | YaoGuang: 9990.652 | Lingsha: 189.217
Run   81: Team DPAV: 40848.169 | Evanescia: 26042.319 | ElationMC: 4811.757 | YaoGuang: 9121.900 | Lingsha: 180.984
Run   82: Team DPAV: 41439.563 | Evanescia: 26657.276 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   83: Team DPAV: 40793.667 | Evanescia: 26043.770 | ElationMC: 4809.908 | YaoGuang: 9058.574 | Lingsha: 190.207
Run   84: Team DPAV: 44387.957 | Evanescia: 28582.849 | ElationMC: 5121.326 | YaoGuang: 9778.495 | Lingsha: 184.685
Run   85: Team DPAV: 44408.629 | Evanescia: 28862.466 | ElationMC: 5179.442 | YaoGuang: 9448.670 | Lingsha: 191.571
Run   86: Team DPAV: 42068.405 | Evanescia: 27202.323 | ElationMC: 4864.774 | YaoGuang: 9122.161 | Lingsha: 187.938
Run   87: Team DPAV: 45477.781 | Evanescia: 29121.792 | ElationMC: 5217.013 | YaoGuang: 10327.658 | Lingsha: 181.837
Run   88: Team DPAV: 43396.991 | Evanescia: 27635.898 | ElationMC: 5220.800 | YaoGuang: 9621.560 | Lingsha: 192.253
Run   89: Team DPAV: 41884.874 | Evanescia: 26938.525 | ElationMC: 4878.727 | YaoGuang: 9186.206 | Lingsha: 190.207
Run   90: Team DPAV: 43825.551 | Evanescia: 28258.222 | ElationMC: 5173.228 | YaoGuang: 9576.845 | Lingsha: 178.958
Run   91: Team DPAV: 41266.206 | Evanescia: 26493.356 | ElationMC: 4809.908 | YaoGuang: 9081.527 | Lingsha: 190.207
Run   92: Team DPAV: 43463.141 | Evanescia: 27879.964 | ElationMC: 5153.830 | YaoGuang: 9557.155 | Lingsha: 180.984
Run   93: Team DPAV: 43626.505 | Evanescia: 28022.251 | ElationMC: 5153.830 | YaoGuang: 9578.232 | Lingsha: 180.984
Run   94: Team DPAV: 43163.055 | Evanescia: 27616.378 | ElationMC: 5151.981 | YaoGuang: 9511.236 | Lingsha: 192.253
Run   95: Team DPAV: 44145.991 | Evanescia: 28515.951 | ElationMC: 5151.981 | YaoGuang: 9559.326 | Lingsha: 192.253
Run   96: Team DPAV: 43089.434 | Evanescia: 27181.310 | ElationMC: 4998.867 | YaoGuang: 10053.090 | Lingsha: 185.535
Run   97: Team DPAV: 43394.051 | Evanescia: 27837.937 | ElationMC: 5151.981 | YaoGuang: 9520.673 | Lingsha: 192.253
Run   98: Team DPAV: 44460.716 | Evanescia: 28688.420 | ElationMC: 5222.649 | YaoGuang: 9677.455 | Lingsha: 180.984
Run   99: Team DPAV: 41591.878 | Evanescia: 26962.178 | ElationMC: 4784.680 | YaoGuang: 8964.595 | Lingsha: 189.217
Run  100: Team DPAV: 43073.070 | Evanescia: 27444.326 | ElationMC: 4945.802 | YaoGuang: 9829.179 | Lingsha: 177.252

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 42474.184
Average Evanescia DPAV: 27232.310
Average ElationMC DPAV: 4976.618
Average YaoGuang DPAV: 9380.704
Average Lingsha DPAV: 188.495

Min Team DPAV: 40054.085
Max Team DPAV: 45477.781
