Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   40: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   41: Team DPAV: 20877.822 | MortenaxBlade: 16064.046 | RuanMei: 1388.293 | Tribbie: 3322.474 | HuoHuo: 0.000
Run   42: Team DPAV: 23627.814 | MortenaxBlade: 18346.406 | RuanMei: 1548.230 | Tribbie: 3626.384 | HuoHuo: 0.000
Run   43: Team DPAV: 26935.915 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3874.308 | HuoHuo: 0.000
Run   44: Team DPAV: 23160.464 | MortenaxBlade: 17821.513 | RuanMei: 1546.454 | Tribbie: 3689.487 | HuoHuo: 0.000
Run   45: Team DPAV: 26389.250 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3765.551 | HuoHuo: 0.000
Run   46: Team DPAV: 24435.011 | MortenaxBlade: 18960.674 | RuanMei: 1566.084 | Tribbie: 3787.636 | HuoHuo: 0.000
Run   47: Team DPAV: 26397.028 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3770.810 | HuoHuo: 0.000
Run   48: Team DPAV: 26834.558 | MortenaxBlade: 21312.575 | RuanMei: 1614.514 | Tribbie: 3786.852 | HuoHuo: 0.000
Run   49: Team DPAV: 26357.866 | MortenaxBlade: 20910.927 | RuanMei: 1563.565 | Tribbie: 3762.757 | HuoHuo: 0.000
Run   50: Team DPAV: 26883.095 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3881.879 | HuoHuo: 0.000
Run   51: Team DPAV: 23309.152 | MortenaxBlade: 18130.842 | RuanMei: 1548.230 | Tribbie: 3537.108 | HuoHuo: 0.000
Run   52: Team DPAV: 26397.028 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3770.810 | HuoHuo: 0.000
Run   53: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run   54: Team DPAV: 26623.956 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3784.217 | HuoHuo: 0.000
Run   55: Team DPAV: 25590.060 | MortenaxBlade: 20169.743 | RuanMei: 1566.084 | Tribbie: 3733.616 | HuoHuo: 0.000
Run   56: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   57: Team DPAV: 26126.323 | MortenaxBlade: 20723.952 | RuanMei: 1561.636 | Tribbie: 3727.688 | HuoHuo: 0.000
Run   58: Team DPAV: 25137.071 | MortenaxBlade: 19431.017 | RuanMei: 1602.648 | Tribbie: 3982.790 | HuoHuo: 0.000
Run   59: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   60: Team DPAV: 26927.482 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3865.875 | HuoHuo: 0.000
Run   61: Team DPAV: 23606.267 | MortenaxBlade: 18301.425 | RuanMei: 1545.711 | Tribbie: 3652.337 | HuoHuo: 0.000
Run   62: Team DPAV: 26993.948 | MortenaxBlade: 21403.107 | RuanMei: 1612.626 | Tribbie: 3867.635 | HuoHuo: 0.000
Run   63: Team DPAV: 25354.918 | MortenaxBlade: 19954.179 | RuanMei: 1563.565 | Tribbie: 3716.557 | HuoHuo: 0.000
Run   64: Team DPAV: 26621.551 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3781.812 | HuoHuo: 0.000
Run   65: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run   66: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run   67: Team DPAV: 24410.232 | MortenaxBlade: 18946.379 | RuanMei: 1563.565 | Tribbie: 3779.671 | HuoHuo: 0.000
Run   68: Team DPAV: 26623.956 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3784.217 | HuoHuo: 0.000
Run   69: Team DPAV: 26660.839 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3817.315 | HuoHuo: 0.000
Run   70: Team DPAV: 26371.255 | MortenaxBlade: 20925.222 | RuanMei: 1563.565 | Tribbie: 3761.851 | HuoHuo: 0.000
Run   71: Team DPAV: 26941.653 | MortenaxBlade: 21337.458 | RuanMei: 1614.514 | Tribbie: 3879.102 | HuoHuo: 0.000
Run   72: Team DPAV: 26397.028 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3770.810 | HuoHuo: 0.000
Run   73: Team DPAV: 26378.038 | MortenaxBlade: 20925.222 | RuanMei: 1566.084 | Tribbie: 3766.116 | HuoHuo: 0.000
Run   74: Team DPAV: 26658.434 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3814.910 | HuoHuo: 0.000
Run   75: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run   76: Team DPAV: 26389.250 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3765.551 | HuoHuo: 0.000
Run   77: Team DPAV: 26397.028 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3770.810 | HuoHuo: 0.000
Run   78: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   79: Team DPAV: 25727.810 | MortenaxBlade: 20351.526 | RuanMei: 1449.181 | Tribbie: 3816.523 | HuoHuo: 0.000
Run   80: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   81: Team DPAV: 24392.339 | MortenaxBlade: 18960.674 | RuanMei: 1563.565 | Tribbie: 3751.268 | HuoHuo: 0.000
Run   82: Team DPAV: 24417.016 | MortenaxBlade: 18946.379 | RuanMei: 1566.084 | Tribbie: 3783.936 | HuoHuo: 0.000
Run   83: Team DPAV: 25590.060 | MortenaxBlade: 20169.743 | RuanMei: 1566.084 | Tribbie: 3733.616 | HuoHuo: 0.000
Run   84: Team DPAV: 26357.866 | MortenaxBlade: 20910.927 | RuanMei: 1563.565 | Tribbie: 3762.757 | HuoHuo: 0.000
Run   85: Team DPAV: 26389.250 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3765.551 | HuoHuo: 0.000
Run   86: Team DPAV: 26389.250 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3765.551 | HuoHuo: 0.000
Run   87: Team DPAV: 25603.448 | MortenaxBlade: 20184.038 | RuanMei: 1566.084 | Tribbie: 3732.709 | HuoHuo: 0.000
Run   88: Team DPAV: 24890.243 | MortenaxBlade: 19307.195 | RuanMei: 1614.514 | Tribbie: 3844.132 | HuoHuo: 0.000
Run   89: Team DPAV: 26396.033 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3769.816 | HuoHuo: 0.000
Run   90: Team DPAV: 23160.464 | MortenaxBlade: 17821.513 | RuanMei: 1546.454 | Tribbie: 3689.487 | HuoHuo: 0.000
Run   91: Team DPAV: 26941.653 | MortenaxBlade: 21337.458 | RuanMei: 1614.514 | Tribbie: 3879.102 | HuoHuo: 0.000
Run   92: Team DPAV: 26623.956 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3784.217 | HuoHuo: 0.000
Run   93: Team DPAV: 26899.032 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3841.210 | HuoHuo: 0.000
Run   94: Team DPAV: 26858.760 | MortenaxBlade: 21341.772 | RuanMei: 1614.514 | Tribbie: 3791.894 | HuoHuo: 0.000
Run   95: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run   96: Team DPAV: 26371.255 | MortenaxBlade: 20925.222 | RuanMei: 1563.565 | Tribbie: 3761.851 | HuoHuo: 0.000
Run   97: Team DPAV: 26357.866 | MortenaxBlade: 20910.927 | RuanMei: 1563.565 | Tribbie: 3762.757 | HuoHuo: 0.000
Run   98: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   99: Team DPAV: 24410.232 | MortenaxBlade: 18946.379 | RuanMei: 1563.565 | Tribbie: 3779.671 | HuoHuo: 0.000
Run  100: Team DPAV: 23627.814 | MortenaxBlade: 18346.406 | RuanMei: 1548.230 | Tribbie: 3626.384 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 25472.289
Average MortenaxBlade DPAV: 20053.739
Average RuanMei DPAV: 1563.638
Average Tribbie DPAV: 3741.267
Average HuoHuo DPAV: 0.000

Min Team DPAV: 20859.508
Max Team DPAV: 26993.948
