Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 223420.044 | Archer: 176284.215 | Sparkle: 0.000 | RinTohsaka: 27167.927 | Cipher: 19736.645
Run   91: Team DPAV: 227235.709 | Archer: 172865.486 | Sparkle: 0.000 | RinTohsaka: 25193.278 | Cipher: 28945.688
Run   92: Team DPAV: 223114.715 | Archer: 169851.478 | Sparkle: 0.000 | RinTohsaka: 24117.866 | Cipher: 28914.113
Run   93: Team DPAV: 218050.642 | Archer: 172865.486 | Sparkle: 0.000 | RinTohsaka: 25193.278 | Cipher: 19760.620
Run   94: Team DPAV: 227136.504 | Archer: 172788.858 | Sparkle: 0.000 | RinTohsaka: 25178.110 | Cipher: 28938.277
Run   95: Team DPAV: 219946.359 | Archer: 174806.849 | Sparkle: 0.000 | RinTohsaka: 25157.552 | Cipher: 19750.699
Run   96: Team DPAV: 234630.440 | Archer: 178365.379 | Sparkle: 0.000 | RinTohsaka: 27093.824 | Cipher: 28939.979
Run   97: Team DPAV: 234652.623 | Archer: 178365.379 | Sparkle: 0.000 | RinTohsaka: 27093.824 | Cipher: 28962.162
Run   98: Team DPAV: 232611.570 | Archer: 176284.215 | Sparkle: 0.000 | RinTohsaka: 27167.927 | Cipher: 28928.170
Run   99: Team DPAV: 234652.623 | Archer: 178365.379 | Sparkle: 0.000 | RinTohsaka: 27093.824 | Cipher: 28962.162
Run  100: Team DPAV: 229141.347 | Archer: 174806.849 | Sparkle: 0.000 | RinTohsaka: 25157.552 | Cipher: 28945.688

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 227614.722
Average Archer DPAV: 174180.468
Average Sparkle DPAV: 0.000
Average RinTohsaka DPAV: 25533.597
Average Cipher DPAV: 27669.400

Min Team DPAV: 217960.146
Max Team DPAV: 234652.623
