Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 39808.632 | Evanescia: 28795.443 | YaoGuang: 8831.668 | RuanMei: 1404.458 | HuoHuo: 23.424
Run   95: Team DPAV: 42554.659 | Evanescia: 30759.180 | YaoGuang: 9487.776 | RuanMei: 1452.398 | HuoHuo: 26.178
Run   96: Team DPAV: 41848.927 | Evanescia: 30496.734 | YaoGuang: 9063.748 | RuanMei: 1449.619 | HuoHuo: 23.424
Run   97: Team DPAV: 43363.720 | Evanescia: 31814.106 | YaoGuang: 9252.992 | RuanMei: 1439.529 | HuoHuo: 27.968
Run   98: Team DPAV: 42485.075 | Evanescia: 31084.052 | YaoGuang: 9148.541 | RuanMei: 1438.352 | HuoHuo: 26.178
Run   99: Team DPAV: 41728.850 | Evanescia: 30740.571 | YaoGuang: 8771.588 | RuanMei: 1432.765 | HuoHuo: 23.424
Run  100: Team DPAV: 43834.148 | Evanescia: 32164.338 | YaoGuang: 9362.108 | RuanMei: 1452.398 | HuoHuo: 26.178

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 42114.790
Average Evanescia DPAV: 30789.424
Average YaoGuang DPAV: 9044.554
Average RuanMei DPAV: 1455.295
Average HuoHuo DPAV: 26.151

Min Team DPAV: 38645.144
Max Team DPAV: 44626.868
