Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 99326.737 | SilverWolf999: 80082.396 | YaoGuang: 7166.343 | HuoHuo: 7.176 | Sparxie: 11747.581
Run   40: Team DPAV: 87744.925 | SilverWolf999: 68787.691 | YaoGuang: 7265.490 | HuoHuo: 7.176 | Sparxie: 11361.327
Run   41: Team DPAV: 97999.568 | SilverWolf999: 78382.623 | YaoGuang: 7307.637 | HuoHuo: 7.176 | Sparxie: 11978.892
Run   42: Team DPAV: 97536.280 | SilverWolf999: 77735.872 | YaoGuang: 7587.051 | HuoHuo: 6.458 | Sparxie: 11923.772
Run   43: Team DPAV: 98433.687 | SilverWolf999: 78371.369 | YaoGuang: 7436.546 | HuoHuo: 7.176 | Sparxie: 12295.355
Run   44: Team DPAV: 91455.890 | SilverWolf999: 72005.945 | YaoGuang: 7272.896 | HuoHuo: 6.458 | Sparxie: 11887.465
Run   45: Team DPAV: 87832.548 | SilverWolf999: 68813.805 | YaoGuang: 7429.035 | HuoHuo: 6.458 | Sparxie: 11300.124
Run   46: Team DPAV: 93080.469 | SilverWolf999: 73894.470 | YaoGuang: 7206.146 | HuoHuo: 7.176 | Sparxie: 11649.437
Run   47: Team DPAV: 85673.556 | SilverWolf999: 66760.284 | YaoGuang: 7044.301 | HuoHuo: 7.176 | Sparxie: 11538.555
Run   48: Team DPAV: 77270.113 | SilverWolf999: 60377.965 | YaoGuang: 6605.856 | HuoHuo: 6.458 | Sparxie: 9956.593
Run   49: Team DPAV: 80719.860 | SilverWolf999: 61821.422 | YaoGuang: 7015.673 | HuoHuo: 7.176 | Sparxie: 11552.348
Run   50: Team DPAV: 87374.108 | SilverWolf999: 68127.497 | YaoGuang: 7306.249 | HuoHuo: 6.458 | Sparxie: 11650.777
Run   51: Team DPAV: 96366.750 | SilverWolf999: 76902.893 | YaoGuang: 7254.635 | HuoHuo: 7.176 | Sparxie: 11878.805
Run   52: Team DPAV: 85642.736 | SilverWolf999: 66672.834 | YaoGuang: 7186.633 | HuoHuo: 6.458 | Sparxie: 11493.683
Run   53: Team DPAV: 80289.345 | SilverWolf999: 62284.674 | YaoGuang: 6857.019 | HuoHuo: 6.458 | Sparxie: 10858.067
Run   54: Team DPAV: 101449.262 | SilverWolf999: 82104.910 | YaoGuang: 7172.862 | HuoHuo: 7.176 | Sparxie: 11841.075
Run   55: Team DPAV: 103468.694 | SilverWolf999: 83303.993 | YaoGuang: 7580.012 | HuoHuo: 6.458 | Sparxie: 12335.218
Run   56: Team DPAV: 83235.585 | SilverWolf999: 64695.401 | YaoGuang: 7083.807 | HuoHuo: 7.176 | Sparxie: 11125.960
Run   57: Team DPAV: 87348.146 | SilverWolf999: 68108.225 | YaoGuang: 7321.060 | HuoHuo: 6.458 | Sparxie: 11629.276
Run   58: Team DPAV: 83625.498 | SilverWolf999: 64808.271 | YaoGuang: 7147.129 | HuoHuo: 7.176 | Sparxie: 11339.681
Run   59: Team DPAV: 101868.737 | SilverWolf999: 81391.289 | YaoGuang: 7522.941 | HuoHuo: 7.176 | Sparxie: 12624.091
Run   60: Team DPAV: 82766.106 | SilverWolf999: 64358.331 | YaoGuang: 6901.774 | HuoHuo: 7.176 | Sparxie: 11175.585
Run   61: Team DPAV: 98408.126 | SilverWolf999: 79736.385 | YaoGuang: 7093.797 | HuoHuo: 6.458 | Sparxie: 11288.360
Run   62: Team DPAV: 87187.212 | SilverWolf999: 68214.221 | YaoGuang: 7327.504 | HuoHuo: 6.458 | Sparxie: 11396.017
Run   63: Team DPAV: 95404.878 | SilverWolf999: 75752.227 | YaoGuang: 7429.938 | HuoHuo: 6.458 | Sparxie: 11973.243
Run   64: Team DPAV: 88493.349 | SilverWolf999: 68856.224 | YaoGuang: 7573.942 | HuoHuo: 6.458 | Sparxie: 11773.598
Run   65: Team DPAV: 80826.602 | SilverWolf999: 62049.967 | YaoGuang: 7243.957 | HuoHuo: 6.458 | Sparxie: 11243.093
Run   66: Team DPAV: 89886.568 | SilverWolf999: 70811.993 | YaoGuang: 7225.009 | HuoHuo: 6.458 | Sparxie: 11559.982
Run   67: Team DPAV: 74330.156 | SilverWolf999: 57037.639 | YaoGuang: 6623.846 | HuoHuo: 6.458 | Sparxie: 10405.829
Run   68: Team DPAV: 86231.811 | SilverWolf999: 67094.032 | YaoGuang: 7304.430 | HuoHuo: 6.458 | Sparxie: 11583.879
Run   69: Team DPAV: 86353.217 | SilverWolf999: 66893.218 | YaoGuang: 7543.630 | HuoHuo: 6.458 | Sparxie: 11586.670
Run   70: Team DPAV: 94851.925 | SilverWolf999: 75862.504 | YaoGuang: 7046.590 | HuoHuo: 7.176 | Sparxie: 11612.414
Run   71: Team DPAV: 100297.670 | SilverWolf999: 80640.244 | YaoGuang: 7246.755 | HuoHuo: 6.458 | Sparxie: 12121.086
Run   72: Team DPAV: 90952.362 | SilverWolf999: 71770.200 | YaoGuang: 7116.954 | HuoHuo: 7.176 | Sparxie: 11734.791
Run   73: Team DPAV: 97993.625 | SilverWolf999: 78718.209 | YaoGuang: 7353.080 | HuoHuo: 7.176 | Sparxie: 11591.920
Run   74: Team DPAV: 85509.222 | SilverWolf999: 66662.584 | YaoGuang: 7035.502 | HuoHuo: 6.458 | Sparxie: 11521.551
Run   75: Team DPAV: 96144.525 | SilverWolf999: 77211.869 | YaoGuang: 6947.060 | HuoHuo: 6.458 | Sparxie: 11696.011
Run   76: Team DPAV: 93121.687 | SilverWolf999: 74787.313 | YaoGuang: 6808.607 | HuoHuo: 7.176 | Sparxie: 11195.351
Run   77: Team DPAV: 79017.520 | SilverWolf999: 61750.756 | YaoGuang: 6908.388 | HuoHuo: 6.458 | Sparxie: 10068.791
Run   78: Team DPAV: 82333.747 | SilverWolf999: 63919.455 | YaoGuang: 7025.934 | HuoHuo: 6.458 | Sparxie: 11058.658
Run   79: Team DPAV: 103153.407 | SilverWolf999: 83305.307 | YaoGuang: 7474.718 | HuoHuo: 6.458 | Sparxie: 12083.797
Run   80: Team DPAV: 85800.072 | SilverWolf999: 67348.086 | YaoGuang: 6935.320 | HuoHuo: 6.458 | Sparxie: 11186.968
Run   81: Team DPAV: 80185.124 | SilverWolf999: 62498.144 | YaoGuang: 6888.214 | HuoHuo: 6.458 | Sparxie: 10509.181
Run   82: Team DPAV: 84017.884 | SilverWolf999: 65295.025 | YaoGuang: 7026.898 | HuoHuo: 7.176 | Sparxie: 11365.545
Run   83: Team DPAV: 103289.339 | SilverWolf999: 83254.356 | YaoGuang: 7497.151 | HuoHuo: 6.458 | Sparxie: 12248.248
Run   84: Team DPAV: 82094.271 | SilverWolf999: 64772.223 | YaoGuang: 6749.434 | HuoHuo: 6.458 | Sparxie: 10242.915
Run   85: Team DPAV: 101419.060 | SilverWolf999: 81179.017 | YaoGuang: 7493.007 | HuoHuo: 7.176 | Sparxie: 12416.619
Run   86: Team DPAV: 101201.953 | SilverWolf999: 80970.565 | YaoGuang: 7412.537 | HuoHuo: 7.176 | Sparxie: 12488.434
Run   87: Team DPAV: 96770.679 | SilverWolf999: 77344.761 | YaoGuang: 7266.276 | HuoHuo: 7.176 | Sparxie: 11829.225
Run   88: Team DPAV: 96335.703 | SilverWolf999: 77379.941 | YaoGuang: 7175.474 | HuoHuo: 6.458 | Sparxie: 11490.704
Run   89: Team DPAV: 101773.903 | SilverWolf999: 82327.518 | YaoGuang: 7116.630 | HuoHuo: 7.176 | Sparxie: 11999.338
Run   90: Team DPAV: 99829.327 | SilverWolf999: 80838.723 | YaoGuang: 7367.751 | HuoHuo: 6.458 | Sparxie: 11373.382
Run   91: Team DPAV: 71822.265 | SilverWolf999: 55128.570 | YaoGuang: 6334.646 | HuoHuo: 7.176 | Sparxie: 10028.632
Run   92: Team DPAV: 86657.424 | SilverWolf999: 67714.036 | YaoGuang: 7238.750 | HuoHuo: 6.458 | Sparxie: 11415.053
Run   93: Team DPAV: 85090.281 | SilverWolf999: 65822.748 | YaoGuang: 7245.918 | HuoHuo: 6.458 | Sparxie: 11772.144
Run   94: Team DPAV: 101422.835 | SilverWolf999: 81432.187 | YaoGuang: 7505.976 | HuoHuo: 6.458 | Sparxie: 12195.087
Run   95: Team DPAV: 84713.336 | SilverWolf999: 65546.014 | YaoGuang: 7349.773 | HuoHuo: 6.458 | Sparxie: 11527.964
Run   96: Team DPAV: 98811.076 | SilverWolf999: 78836.449 | YaoGuang: 7636.587 | HuoHuo: 6.458 | Sparxie: 12048.456
Run   97: Team DPAV: 82339.533 | SilverWolf999: 65044.230 | YaoGuang: 6632.383 | HuoHuo: 6.458 | Sparxie: 10333.221
Run   98: Team DPAV: 84448.786 | SilverWolf999: 66232.439 | YaoGuang: 6897.197 | HuoHuo: 7.176 | Sparxie: 10988.733
Run   99: Team DPAV: 93015.530 | SilverWolf999: 73573.802 | YaoGuang: 7393.403 | HuoHuo: 6.458 | Sparxie: 11758.740
Run  100: Team DPAV: 96198.827 | SilverWolf999: 76824.646 | YaoGuang: 7286.514 | HuoHuo: 7.176 | Sparxie: 11757.251

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 89828.295
Average SilverWolf999 DPAV: 70947.403
Average YaoGuang DPAV: 7157.339
Average HuoHuo DPAV: 6.723
Average Sparxie DPAV: 11417.390

Min Team DPAV: 71822.265
Max Team DPAV: 103468.694
