Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 21532.427 | Archer: 16984.043 | Sparkle: 0.000 | Cipher: 4461.175 | HuoHuo: 0.000
Run   97: Team DPAV: 21621.163 | Archer: 17055.605 | Sparkle: 0.000 | Cipher: 4478.350 | HuoHuo: 0.000
Run   98: Team DPAV: 21531.716 | Archer: 16984.043 | Sparkle: 0.000 | Cipher: 4460.464 | HuoHuo: 0.000
Run   99: Team DPAV: 19454.442 | Archer: 15308.934 | Sparkle: 0.000 | Cipher: 4058.299 | HuoHuo: 0.000
Run  100: Team DPAV: 23136.623 | Archer: 18279.733 | Sparkle: 0.000 | Cipher: 4769.681 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 21847.642
Average Archer DPAV: 17239.705 Percentage: 78.909%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average Cipher DPAV: 4520.728 Percentage: 20.692%
Average HuoHuo DPAV: 0.000 Percentage: 0.000%

Min Team DPAV: 19454.442
Max Team DPAV: 23352.252
