Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 50683.355 | Evanescia: 26898.516 | Sparxie: 13961.216 | YaoGuang: 9132.139 | HuoHuo: 8.288
Run   24: Team DPAV: 45436.192 | Evanescia: 23615.449 | Sparxie: 12656.940 | YaoGuang: 8439.577 | HuoHuo: 8.062
Run   25: Team DPAV: 49949.472 | Evanescia: 26289.985 | Sparxie: 14100.638 | YaoGuang: 8834.623 | HuoHuo: 8.062
Run   26: Team DPAV: 50775.935 | Evanescia: 26343.280 | Sparxie: 14628.448 | YaoGuang: 9079.980 | HuoHuo: 8.062
Run   27: Team DPAV: 47913.875 | Evanescia: 25094.236 | Sparxie: 13287.882 | YaoGuang: 8807.305 | HuoHuo: 8.288
Run   28: Team DPAV: 50615.007 | Evanescia: 26426.868 | Sparxie: 14418.930 | YaoGuang: 9044.982 | HuoHuo: 8.062
Run   29: Team DPAV: 49383.239 | Evanescia: 26240.972 | Sparxie: 13444.436 | YaoGuang: 8973.379 | HuoHuo: 8.288
Run   30: Team DPAV: 51231.374 | Evanescia: 26726.967 | Sparxie: 14837.562 | YaoGuang: 8942.394 | HuoHuo: 8.288
Run   31: Team DPAV: 50797.744 | Evanescia: 26921.772 | Sparxie: 14139.359 | YaoGuang: 9012.387 | HuoHuo: 8.062
Run   32: Team DPAV: 47233.507 | Evanescia: 24956.838 | Sparxie: 12953.519 | YaoGuang: 8598.923 | HuoHuo: 8.062
Run   33: Team DPAV: 50719.025 | Evanescia: 26538.894 | Sparxie: 14129.146 | YaoGuang: 9326.535 | HuoHuo: 8.288
Run   34: Team DPAV: 48907.350 | Evanescia: 25601.449 | Sparxie: 13844.592 | YaoGuang: 8737.083 | HuoHuo: 8.062
Run   35: Team DPAV: 50169.757 | Evanescia: 25990.320 | Sparxie: 14081.923 | YaoGuang: 9373.063 | HuoHuo: 8.288
Run   36: Team DPAV: 49293.285 | Evanescia: 25735.537 | Sparxie: 13848.338 | YaoGuang: 8985.183 | HuoHuo: 8.062
Run   37: Team DPAV: 50968.261 | Evanescia: 26850.053 | Sparxie: 14178.826 | YaoGuang: 9215.156 | HuoHuo: 8.062
Run   38: Team DPAV: 51181.474 | Evanescia: 27173.258 | Sparxie: 14157.905 | YaoGuang: 9126.085 | HuoHuo: 8.062
Run   39: Team DPAV: 49645.907 | Evanescia: 25640.403 | Sparxie: 14087.053 | YaoGuang: 9194.225 | HuoHuo: 8.062
Run   40: Team DPAV: 49496.341 | Evanescia: 26313.976 | Sparxie: 13667.424 | YaoGuang: 8823.682 | HuoHuo: 8.062
Run   41: Team DPAV: 50626.695 | Evanescia: 26397.078 | Sparxie: 14417.593 | YaoGuang: 9087.573 | HuoHuo: 8.288
Run   42: Team DPAV: 48249.365 | Evanescia: 25526.199 | Sparxie: 13336.366 | YaoGuang: 8662.574 | HuoHuo: 8.062
Run   43: Team DPAV: 44310.848 | Evanescia: 23364.707 | Sparxie: 12213.219 | YaoGuang: 8008.697 | HuoHuo: 8.062
Run   44: Team DPAV: 50256.885 | Evanescia: 25953.828 | Sparxie: 14322.106 | YaoGuang: 9256.726 | HuoHuo: 8.062
Run   45: Team DPAV: 48918.863 | Evanescia: 25636.250 | Sparxie: 13626.230 | YaoGuang: 8932.158 | HuoHuo: 8.062
Run   46: Team DPAV: 50851.349 | Evanescia: 26896.251 | Sparxie: 14377.136 | YaoGuang: 8853.736 | HuoHuo: 8.062
Run   47: Team DPAV: 46401.754 | Evanescia: 24504.829 | Sparxie: 12581.502 | YaoGuang: 8591.197 | HuoHuo: 8.062
Run   48: Team DPAV: 48266.490 | Evanescia: 25659.603 | Sparxie: 13217.927 | YaoGuang: 8675.723 | HuoHuo: 8.062
Run   49: Team DPAV: 51131.636 | Evanescia: 27070.071 | Sparxie: 14288.249 | YaoGuang: 9049.090 | HuoHuo: 8.062
Run   50: Team DPAV: 48979.127 | Evanescia: 25674.473 | Sparxie: 13886.784 | YaoGuang: 8693.645 | HuoHuo: 8.062
Run   51: Team DPAV: 50022.877 | Evanescia: 26002.705 | Sparxie: 14185.084 | YaoGuang: 9110.861 | HuoHuo: 8.062
Run   52: Team DPAV: 49059.023 | Evanescia: 25797.155 | Sparxie: 13632.849 | YaoGuang: 8904.794 | HuoHuo: 8.062
Run   53: Team DPAV: 46593.448 | Evanescia: 23797.838 | Sparxie: 13475.961 | YaoGuang: 8595.198 | HuoHuo: 8.288
Run   54: Team DPAV: 47893.561 | Evanescia: 25571.959 | Sparxie: 12906.780 | YaoGuang: 8690.597 | HuoHuo: 8.062
Run   55: Team DPAV: 50625.909 | Evanescia: 26355.415 | Sparxie: 14270.054 | YaoGuang: 9275.990 | HuoHuo: 8.288
Run   56: Team DPAV: 47335.159 | Evanescia: 24766.552 | Sparxie: 13165.787 | YaoGuang: 8678.595 | HuoHuo: 8.062
Run   57: Team DPAV: 50045.079 | Evanescia: 25910.820 | Sparxie: 14193.154 | YaoGuang: 9216.879 | HuoHuo: 8.062
Run   58: Team DPAV: 50346.956 | Evanescia: 26478.375 | Sparxie: 13838.230 | YaoGuang: 9305.900 | HuoHuo: 8.288
Run   59: Team DPAV: 49777.741 | Evanescia: 26082.084 | Sparxie: 13989.737 | YaoGuang: 8981.695 | HuoHuo: 8.062
Run   60: Team DPAV: 49801.312 | Evanescia: 25809.182 | Sparxie: 14227.737 | YaoGuang: 9040.168 | HuoHuo: 8.062
Run   61: Team DPAV: 50858.627 | Evanescia: 26727.751 | Sparxie: 14173.329 | YaoGuang: 9233.321 | HuoHuo: 8.062
Run   62: Team DPAV: 51554.824 | Evanescia: 27112.019 | Sparxie: 14475.146 | YaoGuang: 9243.433 | HuoHuo: 8.062
Run   63: Team DPAV: 47950.845 | Evanescia: 25236.602 | Sparxie: 13150.471 | YaoGuang: 8839.547 | HuoHuo: 8.062
Run   64: Team DPAV: 49880.325 | Evanescia: 26431.411 | Sparxie: 13670.538 | YaoGuang: 9054.151 | HuoHuo: 8.062
Run   65: Team DPAV: 48994.577 | Evanescia: 25951.170 | Sparxie: 13600.098 | YaoGuang: 8719.084 | HuoHuo: 8.062
Run   66: Team DPAV: 44978.542 | Evanescia: 23360.392 | Sparxie: 12520.235 | YaoGuang: 8373.689 | HuoHuo: 8.062
Run   67: Team DPAV: 50586.935 | Evanescia: 26483.024 | Sparxie: 14236.185 | YaoGuang: 9143.500 | HuoHuo: 8.062
Run   68: Team DPAV: 45483.939 | Evanescia: 23736.973 | Sparxie: 12834.095 | YaoGuang: 8188.646 | HuoHuo: 8.062
Run   69: Team DPAV: 51079.383 | Evanescia: 26601.039 | Sparxie: 14665.070 | YaoGuang: 9089.047 | HuoHuo: 8.062
Run   70: Team DPAV: 50183.846 | Evanescia: 26715.872 | Sparxie: 13771.857 | YaoGuang: 8971.891 | HuoHuo: 8.062
Run   71: Team DPAV: 49450.382 | Evanescia: 25728.698 | Sparxie: 14178.616 | YaoGuang: 8818.841 | HuoHuo: 8.062
Run   72: Team DPAV: 46208.473 | Evanescia: 24501.951 | Sparxie: 12698.489 | YaoGuang: 8283.807 | HuoHuo: 8.062
Run   73: Team DPAV: 50272.348 | Evanescia: 26420.477 | Sparxie: 13860.352 | YaoGuang: 9267.068 | HuoHuo: 8.288
Run   74: Team DPAV: 49449.341 | Evanescia: 26389.633 | Sparxie: 13320.362 | YaoGuang: 9015.120 | HuoHuo: 8.062
Run   75: Team DPAV: 48426.488 | Evanescia: 25566.838 | Sparxie: 13437.837 | YaoGuang: 8697.587 | HuoHuo: 8.062
Run   76: Team DPAV: 47406.635 | Evanescia: 25138.298 | Sparxie: 13034.316 | YaoGuang: 8509.796 | HuoHuo: 8.062
Run   77: Team DPAV: 46737.245 | Evanescia: 25201.309 | Sparxie: 12350.867 | YaoGuang: 8460.843 | HuoHuo: 8.062
Run   78: Team DPAV: 46898.243 | Evanescia: 24460.759 | Sparxie: 13148.162 | YaoGuang: 8565.096 | HuoHuo: 8.062
Run   79: Team DPAV: 51309.706 | Evanescia: 27259.734 | Sparxie: 14142.731 | YaoGuang: 9183.016 | HuoHuo: 8.062
Run   80: Team DPAV: 50864.750 | Evanescia: 26960.124 | Sparxie: 14177.089 | YaoGuang: 9003.312 | HuoHuo: 8.062
Run   81: Team DPAV: 49715.266 | Evanescia: 26200.660 | Sparxie: 13802.114 | YaoGuang: 9021.008 | HuoHuo: 8.288
Run   82: Team DPAV: 50770.632 | Evanescia: 26144.425 | Sparxie: 14511.273 | YaoGuang: 9390.708 | HuoHuo: 8.062
Run   83: Team DPAV: 51422.889 | Evanescia: 27237.601 | Sparxie: 14279.191 | YaoGuang: 9181.871 | HuoHuo: 8.062
Run   84: Team DPAV: 50765.074 | Evanescia: 26972.186 | Sparxie: 13995.307 | YaoGuang: 9106.321 | HuoHuo: 8.062
Run   85: Team DPAV: 51083.315 | Evanescia: 26920.607 | Sparxie: 14519.478 | YaoGuang: 8919.005 | HuoHuo: 8.062
Run   86: Team DPAV: 50505.400 | Evanescia: 26525.557 | Sparxie: 14189.776 | YaoGuang: 9065.615 | HuoHuo: 8.288
Run   87: Team DPAV: 47618.703 | Evanescia: 25394.272 | Sparxie: 12936.257 | YaoGuang: 8563.948 | HuoHuo: 8.062
Run   88: Team DPAV: 49150.336 | Evanescia: 25686.046 | Sparxie: 13809.666 | YaoGuang: 8930.399 | HuoHuo: 8.062
Run   89: Team DPAV: 47972.669 | Evanescia: 25585.407 | Sparxie: 13018.933 | YaoGuang: 8644.103 | HuoHuo: 8.062
Run   90: Team DPAV: 46589.332 | Evanescia: 24826.925 | Sparxie: 12441.233 | YaoGuang: 8596.949 | HuoHuo: 8.062
Run   91: Team DPAV: 50113.530 | Evanescia: 26217.572 | Sparxie: 14221.405 | YaoGuang: 8950.327 | HuoHuo: 8.062
Run   92: Team DPAV: 49641.491 | Evanescia: 25503.712 | Sparxie: 14182.505 | YaoGuang: 9231.048 | HuoHuo: 8.062
Run   93: Team DPAV: 49816.618 | Evanescia: 26494.312 | Sparxie: 13587.390 | YaoGuang: 9043.432 | HuoHuo: 8.288
Run   94: Team DPAV: 46550.243 | Evanescia: 24188.381 | Sparxie: 12925.816 | YaoGuang: 8711.821 | HuoHuo: 8.062
Run   95: Team DPAV: 50619.716 | Evanescia: 26585.872 | Sparxie: 14124.482 | YaoGuang: 9185.137 | HuoHuo: 8.062
Run   96: Team DPAV: 47094.124 | Evanescia: 25390.359 | Sparxie: 12469.774 | YaoGuang: 8509.765 | HuoHuo: 8.062
Run   97: Team DPAV: 49464.475 | Evanescia: 25705.120 | Sparxie: 13911.548 | YaoGuang: 9123.356 | HuoHuo: 8.288
Run   98: Team DPAV: 51582.747 | Evanescia: 27048.710 | Sparxie: 14535.967 | YaoGuang: 9273.619 | HuoHuo: 8.288
Run   99: Team DPAV: 51312.101 | Evanescia: 27017.173 | Sparxie: 14453.182 | YaoGuang: 9117.520 | HuoHuo: 8.062
Run  100: Team DPAV: 46937.574 | Evanescia: 24835.666 | Sparxie: 12769.375 | YaoGuang: 8608.081 | HuoHuo: 8.288

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 49167.857
Average Evanescia DPAV: 25855.980
Average Sparxie DPAV: 13694.269
Average YaoGuang DPAV: 8895.150
Average HuoHuo DPAV: 8.107

Min Team DPAV: 44310.848
Max Team DPAV: 52042.663
