Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 60096.884 | Evanescia: 39942.379 | MortenaxBlade: 7412.227 | YaoGuang: 11357.050 | HuoHuo: 0.000
Run   35: Team DPAV: 57201.111 | Evanescia: 37737.408 | MortenaxBlade: 7423.336 | YaoGuang: 10814.134 | HuoHuo: 0.000
Run   36: Team DPAV: 55168.158 | Evanescia: 36708.232 | MortenaxBlade: 7186.236 | YaoGuang: 9875.212 | HuoHuo: 0.000
Run   37: Team DPAV: 52555.591 | Evanescia: 34578.947 | MortenaxBlade: 5946.504 | YaoGuang: 10644.911 | HuoHuo: 0.000
Run   38: Team DPAV: 55093.000 | Evanescia: 37547.073 | MortenaxBlade: 5908.607 | YaoGuang: 10411.087 | HuoHuo: 0.000
Run   39: Team DPAV: 52983.831 | Evanescia: 35438.458 | MortenaxBlade: 5973.273 | YaoGuang: 10266.370 | HuoHuo: 0.000
Run   40: Team DPAV: 52633.396 | Evanescia: 35376.703 | MortenaxBlade: 6082.566 | YaoGuang: 9775.649 | HuoHuo: 0.000
Run   41: Team DPAV: 56610.871 | Evanescia: 38053.243 | MortenaxBlade: 7154.559 | YaoGuang: 10084.090 | HuoHuo: 0.000
Run   42: Team DPAV: 54707.824 | Evanescia: 35964.678 | MortenaxBlade: 7448.384 | YaoGuang: 9896.283 | HuoHuo: 0.000
Run   43: Team DPAV: 56591.590 | Evanescia: 37723.134 | MortenaxBlade: 7428.494 | YaoGuang: 10041.484 | HuoHuo: 0.000
Run   44: Team DPAV: 57292.690 | Evanescia: 38636.416 | MortenaxBlade: 7114.803 | YaoGuang: 10142.993 | HuoHuo: 0.000
Run   45: Team DPAV: 57318.339 | Evanescia: 38093.709 | MortenaxBlade: 7548.220 | YaoGuang: 10357.430 | HuoHuo: 0.000
Run   46: Team DPAV: 54434.782 | Evanescia: 37277.083 | MortenaxBlade: 6019.037 | YaoGuang: 9740.184 | HuoHuo: 0.000
Run   47: Team DPAV: 57243.890 | Evanescia: 37990.343 | MortenaxBlade: 7434.496 | YaoGuang: 10592.819 | HuoHuo: 0.000
Run   48: Team DPAV: 53205.797 | Evanescia: 35649.781 | MortenaxBlade: 6023.511 | YaoGuang: 10226.774 | HuoHuo: 0.000
Run   49: Team DPAV: 53519.036 | Evanescia: 35161.860 | MortenaxBlade: 7139.787 | YaoGuang: 9818.911 | HuoHuo: 0.000
Run   50: Team DPAV: 49060.031 | Evanescia: 32486.968 | MortenaxBlade: 5914.345 | YaoGuang: 9472.235 | HuoHuo: 0.000
Run   51: Team DPAV: 52303.738 | Evanescia: 34157.379 | MortenaxBlade: 7202.280 | YaoGuang: 9545.600 | HuoHuo: 0.000
Run   52: Team DPAV: 55897.276 | Evanescia: 38299.172 | MortenaxBlade: 5933.391 | YaoGuang: 10345.733 | HuoHuo: 0.000
Run   53: Team DPAV: 49421.629 | Evanescia: 33251.716 | MortenaxBlade: 5643.551 | YaoGuang: 9326.629 | HuoHuo: 0.000
Run   54: Team DPAV: 56978.917 | Evanescia: 37754.708 | MortenaxBlade: 7507.532 | YaoGuang: 10410.946 | HuoHuo: 0.000
Run   55: Team DPAV: 57757.521 | Evanescia: 38770.379 | MortenaxBlade: 7123.696 | YaoGuang: 10478.218 | HuoHuo: 0.000
Run   56: Team DPAV: 56328.874 | Evanescia: 37359.954 | MortenaxBlade: 7535.687 | YaoGuang: 10034.754 | HuoHuo: 0.000
Run   57: Team DPAV: 48461.025 | Evanescia: 32231.067 | MortenaxBlade: 5876.401 | YaoGuang: 9140.573 | HuoHuo: 0.000
Run   58: Team DPAV: 57330.061 | Evanescia: 38424.886 | MortenaxBlade: 7428.916 | YaoGuang: 9998.282 | HuoHuo: 0.000
Run   59: Team DPAV: 56253.387 | Evanescia: 37487.203 | MortenaxBlade: 7491.174 | YaoGuang: 9956.030 | HuoHuo: 0.000
Run   60: Team DPAV: 57904.358 | Evanescia: 39131.031 | MortenaxBlade: 7203.069 | YaoGuang: 10198.279 | HuoHuo: 0.000
Run   61: Team DPAV: 51577.494 | Evanescia: 34538.953 | MortenaxBlade: 6025.139 | YaoGuang: 9800.419 | HuoHuo: 0.000
Run   62: Team DPAV: 48543.772 | Evanescia: 32573.224 | MortenaxBlade: 5660.484 | YaoGuang: 9110.331 | HuoHuo: 0.000
Run   63: Team DPAV: 49658.195 | Evanescia: 33057.138 | MortenaxBlade: 5939.290 | YaoGuang: 9462.034 | HuoHuo: 0.000
Run   64: Team DPAV: 54860.836 | Evanescia: 37359.384 | MortenaxBlade: 5686.012 | YaoGuang: 10416.961 | HuoHuo: 0.000
Run   65: Team DPAV: 51967.332 | Evanescia: 34952.136 | MortenaxBlade: 6022.330 | YaoGuang: 9700.386 | HuoHuo: 0.000
Run   66: Team DPAV: 49080.500 | Evanescia: 32683.508 | MortenaxBlade: 5962.266 | YaoGuang: 9234.992 | HuoHuo: 0.000
Run   67: Team DPAV: 54965.663 | Evanescia: 36537.665 | MortenaxBlade: 7391.818 | YaoGuang: 9823.198 | HuoHuo: 0.000
Run   68: Team DPAV: 56449.975 | Evanescia: 37528.990 | MortenaxBlade: 7250.721 | YaoGuang: 10351.284 | HuoHuo: 0.000
Run   69: Team DPAV: 53487.651 | Evanescia: 35405.604 | MortenaxBlade: 6953.041 | YaoGuang: 9916.022 | HuoHuo: 0.000
Run   70: Team DPAV: 48302.731 | Evanescia: 32325.818 | MortenaxBlade: 5578.410 | YaoGuang: 9198.769 | HuoHuo: 0.000
Run   71: Team DPAV: 55884.977 | Evanescia: 37008.287 | MortenaxBlade: 7174.066 | YaoGuang: 10304.146 | HuoHuo: 0.000
Run   72: Team DPAV: 56573.277 | Evanescia: 37770.270 | MortenaxBlade: 7224.600 | YaoGuang: 10272.677 | HuoHuo: 0.000
Run   73: Team DPAV: 56443.295 | Evanescia: 37668.917 | MortenaxBlade: 7483.706 | YaoGuang: 9892.195 | HuoHuo: 0.000
Run   74: Team DPAV: 48245.086 | Evanescia: 32268.173 | MortenaxBlade: 5578.410 | YaoGuang: 9198.769 | HuoHuo: 0.000
Run   75: Team DPAV: 49106.590 | Evanescia: 32522.798 | MortenaxBlade: 6037.554 | YaoGuang: 9333.255 | HuoHuo: 0.000
Run   76: Team DPAV: 56139.392 | Evanescia: 37321.838 | MortenaxBlade: 7468.428 | YaoGuang: 10030.146 | HuoHuo: 0.000
Run   77: Team DPAV: 56301.429 | Evanescia: 37405.395 | MortenaxBlade: 7407.789 | YaoGuang: 10036.767 | HuoHuo: 0.000
Run   78: Team DPAV: 53381.335 | Evanescia: 34811.440 | MortenaxBlade: 7145.367 | YaoGuang: 10026.050 | HuoHuo: 0.000
Run   79: Team DPAV: 54915.029 | Evanescia: 37073.245 | MortenaxBlade: 6064.199 | YaoGuang: 10392.357 | HuoHuo: 0.000
Run   80: Team DPAV: 55992.709 | Evanescia: 37192.707 | MortenaxBlade: 7231.734 | YaoGuang: 10169.790 | HuoHuo: 0.000
Run   81: Team DPAV: 54902.042 | Evanescia: 37690.820 | MortenaxBlade: 5987.242 | YaoGuang: 9825.502 | HuoHuo: 0.000
Run   82: Team DPAV: 50419.068 | Evanescia: 34036.367 | MortenaxBlade: 5873.915 | YaoGuang: 9309.052 | HuoHuo: 0.000
Run   83: Team DPAV: 57277.150 | Evanescia: 38158.549 | MortenaxBlade: 7488.711 | YaoGuang: 10244.661 | HuoHuo: 0.000
Run   84: Team DPAV: 56632.370 | Evanescia: 37043.313 | MortenaxBlade: 7497.554 | YaoGuang: 10706.274 | HuoHuo: 0.000
Run   85: Team DPAV: 47987.400 | Evanescia: 32056.164 | MortenaxBlade: 5597.940 | YaoGuang: 9133.563 | HuoHuo: 0.000
Run   86: Team DPAV: 52220.264 | Evanescia: 35033.192 | MortenaxBlade: 6057.456 | YaoGuang: 9810.635 | HuoHuo: 0.000
Run   87: Team DPAV: 56522.654 | Evanescia: 37423.815 | MortenaxBlade: 7504.742 | YaoGuang: 10288.365 | HuoHuo: 0.000
Run   88: Team DPAV: 49011.852 | Evanescia: 33024.031 | MortenaxBlade: 5570.041 | YaoGuang: 9218.048 | HuoHuo: 0.000
Run   89: Team DPAV: 54611.875 | Evanescia: 37187.089 | MortenaxBlade: 5976.032 | YaoGuang: 10050.276 | HuoHuo: 0.000
Run   90: Team DPAV: 48261.973 | Evanescia: 32285.061 | MortenaxBlade: 5578.410 | YaoGuang: 9198.769 | HuoHuo: 0.000
Run   91: Team DPAV: 48642.025 | Evanescia: 32389.970 | MortenaxBlade: 5963.428 | YaoGuang: 9088.893 | HuoHuo: 0.000
Run   92: Team DPAV: 57026.327 | Evanescia: 38032.963 | MortenaxBlade: 7438.866 | YaoGuang: 10156.019 | HuoHuo: 0.000
Run   93: Team DPAV: 49272.395 | Evanescia: 32901.054 | MortenaxBlade: 5874.707 | YaoGuang: 9296.900 | HuoHuo: 0.000
Run   94: Team DPAV: 56572.832 | Evanescia: 37012.731 | MortenaxBlade: 7736.628 | YaoGuang: 10517.742 | HuoHuo: 0.000
Run   95: Team DPAV: 52925.441 | Evanescia: 34495.389 | MortenaxBlade: 7055.369 | YaoGuang: 9976.205 | HuoHuo: 0.000
Run   96: Team DPAV: 48280.183 | Evanescia: 32303.270 | MortenaxBlade: 5578.410 | YaoGuang: 9198.769 | HuoHuo: 0.000
Run   97: Team DPAV: 52037.972 | Evanescia: 34742.092 | MortenaxBlade: 6090.936 | YaoGuang: 9806.465 | HuoHuo: 0.000
Run   98: Team DPAV: 57402.038 | Evanescia: 38507.496 | MortenaxBlade: 7531.275 | YaoGuang: 9964.789 | HuoHuo: 0.000
Run   99: Team DPAV: 58493.040 | Evanescia: 39404.406 | MortenaxBlade: 7189.291 | YaoGuang: 10315.370 | HuoHuo: 0.000
Run  100: Team DPAV: 55771.944 | Evanescia: 37413.842 | MortenaxBlade: 7020.174 | YaoGuang: 10124.944 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 53998.300
Average Evanescia DPAV: 36024.834
Average MortenaxBlade DPAV: 6673.138
Average YaoGuang DPAV: 9973.928
Average HuoHuo DPAV: 0.000

Min Team DPAV: 47987.400
Max Team DPAV: 60096.884
